date,xlb,xlc,xle,xlf,xli,xlk,xlp,xlre,xlu,xlv,xly
2025-03-31,60920000,211200000,355020000,1040000000,153030000,310810000,204870000,174600000,225170000,264070000,100800000
2025-04-01,60370000,210350000,354570000,1040000000,152730000,311110000,205120000,177650000,226420000,263269999,100600000
2025-04-03,61120000,210800000,357120000,1040000000,151180000,309760000,206170000,176350000,228320000,263320000,99300000
2025-04-07,61120000,209100000,351820000,1040000000,151180000,310460000,205720000,176300000,229070000,263920000,98800000
2025-04-16,59070000,209750000,333970000,1030000000,146980000,308110000,198620000,172400000,222820000,258570000,97800000
2025-04-22,60020000,209950000,329170000,1020000000,145530000,309710000,191620000,174950000,226120000,258019999,97800000
2025-04-23,60120000,211300000,327520000,1010000000,147630000,310110000,192420000,174950000,226420000,258070000,98200000
2025-04-25,60520000,211950000,323170000,1010000000,147830000,310210000,192070000,176300000,227770000,258620000,98200000
2025-04-28,61220000,211700000,322820000,1010000000,147830000,309910000,192020000,176600000,227620000,258769999,98050000
2025-05-13,58520000,212850000,323920000,997950000,144580000,308110000,195570000,178150000,231320000,260570000,98700000
2025-05-14,58470000,213450000,324070000,1000000000,144630000,308410000,195820000,177300000,231770000,262670000,99150000
2025-05-16,58670000,214300000,324320000,998450000,145630000,308960000,194220000,177400000,231770000,261519999,99850000
2025-05-19,58120000,212700000,323720000,999150000,146280000,309660000,196470000,177000000,230220000,263370000,100350000
2025-05-20,56920000,212350000,324070000,983800000,145230000,309860000,197970000,177500000,230070000,262519999,100550000
2025-05-21,56920000,212350000,324070000,983800000,145230000,309860000,197970000,177500000,230070000,262519999,100550000
2025-07-07,61620000,223150000,318620000,964350000,149330000,316460000,196920000,179650000,233370000,254420000,103400000
2025-07-08,61620000,223150000,318620000,964350000,149330000,316460000,196920000,179650000,233370000,254420000,103400000
2025-07-09,61220000,224150000,318570000,973500000,147830000,316560000,195670000,179550000,233120000,252420000,103050000
2025-07-10,61320000,225050000,317670000,968100000,147930000,317010000,196770000,178850000,236220000,253170000,102300000
2025-07-11,60870000,223150000,319120000,973350000,148280000,315960000,197570000,178900000,239670000,252420000,102150000
2025-07-14,60670000,221750000,318920000,975000000,148030000,315660000,199770000,179200000,241870000,251370000,102350000
2025-07-15,60720000,222100000,318720000,973900000,148330000,316060000,199420000,179200000,243070000,248770000,102450000
2025-07-16,61270000,221750000,317920000,973950000,148480000,315810000,199520000,179200000,242520000,250070000,102600000
2025-07-17,61370000,221600000,317270000,972000000,148780000,316060000,195870000,179200000,242220000,245820000,102750000
2025-07-18,61170000,221400000,317520000,982550000,149080000,317610000,196420000,179200000,242170000,247020000,101550000
2025-07-21,60470000,222750000,317520000,981700000,148830000,317760000,195220000,181450000,243020000,247070000,101800000
2025-07-22,60370000,223950000,317920000,979800000,149230000,317960000,197020000,181850000,243920000,247170000,101700000
2025-07-23,59270000,223300000,317270000,982500000,150430000,317610000,196470000,181850000,244770000,247170000,101600000
2025-07-24,59170000,223550000,315920000,985050000,151230000,317960000,195770000,181550000,245070000,248970000,101700000
2025-07-25,59170000,223600000,315770000,990700000,150880000,318060000,196770000,181550000,244820000,250270000,101350000
2025-07-28,59770000,222950000,313320000,1000050000,151280000,318510000,198570000,181550000,246670000,249820000,100650000
2025-07-29,60020000,221550000,312770000,999700000,151930000,318910000,197720000,181550000,246720000,248770000,100400000
2025-07-30,60070000,221850000,313220000,1001900000,151480000,319710000,198920000,181550000,246720000,247920000,100400000
2025-07-31,60420000,222100000,313020000,1009500000,151930000,318760000,198570000,181100000,245120000,248820000,100400000
2025-08-01,59770000,224100000,312570000,1009600000,153080000,319010000,197870000,181300000,244970000,245670000,100550000
2025-08-04,59670000,227000000,311170000,1002100000,153530000,319760000,198720000,181600000,244820000,245870000,98900000
2025-08-05,59820000,226350000,310970000,997800000,154730000,319710000,198720000,181200000,246070000,246470000,99250000
2025-08-06,59620000,233600000,311370000,996400000,154880000,319510000,198120000,181150000,247070000,246420000,99450000
2025-08-07,59620000,244900000,310470000,997350000,154480000,319760000,197170000,183300000,248120000,246270000,99650000
2025-08-08,59370000,259500000,310170000,998450000,153530000,319660000,201720000,182300000,248670000,244620000,99500000
2025-08-11,59370000,250800000,310870000,993450000,151580000,319610000,204120000,182300000,248170000,245370000,99400000
2025-08-12,59370000,236800000,311020000,994700000,153480000,319610000,203570000,181500000,249170000,245570000,99100000
2025-08-13,59370000,229550000,307020000,1004200000,154280000,319960000,202720000,181500000,250220000,243970000,99200000
2025-08-14,60220000,229850000,307270000,998600000,154480000,320060000,201770000,181500000,250220000,244220000,99550000
2025-08-15,59720000,228400000,306870000,997250000,154530000,319360000,201670000,181500000,249420000,241920000,99350000
2025-08-18,59620000,226750000,306820000,989750000,154080000,319410000,201770000,181500000,249720000,242270000,99600000
2025-08-19,59720000,226700000,306370000,981500000,153830000,319310000,201270000,181500000,250020000,242920000,99750000
2025-08-20,57570000,226650000,305370000,977400000,153280000,319110000,202370000,185850000,250270000,243970000,99600000
2025-08-21,57670000,224600000,304770000,984550000,152530000,320260000,202620000,181050000,250070000,243920000,99250000
2025-08-22,59170000,225100000,305070000,985600000,152930000,319810000,200520000,180750000,249620000,244420000,99850000
2025-08-25,59570000,224800000,305170000,995300000,154130000,319610000,199920000,180750000,249270000,244470000,100650000
2025-08-26,59520000,225400000,306120000,992100000,153430000,319860000,197970000,181500000,249270000,245170000,100100000
2025-08-27,59720000,225650000,306520000,995800000,153330000,319860000,195970000,181500000,247620000,246070000,99900000
2025-08-28,59970000,224650000,305870000,1002050000,153330000,319760000,195520000,181600000,248220000,246620000,100250000
2025-08-29,59970000,224650000,305870000,1002050000,153330000,319760000,195520000,181600000,248220000,246620000,100250000
2025-09-02,60370000,226150000,305820000,1010200000,152480000,320060000,196420000,184650000,249370000,247570000,100350000
2025-09-03,59920000,226450000,305320000,1011350000,153430000,319710000,198220000,184650000,248270000,247020000,100950000
2025-09-04,59970000,227500000,303920000,1014550000,153580000,319360000,199320000,184400000,248570000,247920000,101150000
2025-09-05,60670000,227900000,303720000,1021500000,153330000,319710000,199070000,185350000,248520000,248870000,102650000
2025-09-08,60320000,227950000,301620000,1011350000,153280000,319710000,200220000,185050000,248620000,249520000,102700000
2025-09-09,60570000,227200000,301670000,1001950000,153280000,319560000,200220000,184850000,249720000,249570000,102550000
2025-09-10,60920000,227750000,301670000,1003350000,153680000,319660000,201520000,185100000,248970000,250570000,102450000
2025-09-11,61070000,227600000,301220000,1008700000,153880000,319660000,199970000,185700000,248320000,249620000,102250000
2025-09-12,62120000,225950000,302470000,1016850000,155280000,319410000,200120000,185700000,247270000,250170000,103350000
2025-09-15,62070000,226050000,302120000,1022500000,155530000,319710000,204620000,190700000,247270000,250070000,103350000
2025-09-16,61620000,226750000,301970000,1020650000,155180000,319860000,199770000,185850000,245920000,248720000,102350000
2025-09-17,61620000,227250000,299620000,1016350000,153830000,320010000,195220000,186100000,245370000,246570000,102500000
2025-09-18,61620000,239650000,300320000,1026200000,153630000,328810000,198470000,186450000,245420000,246720000,102350000
2025-09-19,61770000,239200000,300420000,1028750000,154380000,328760000,195970000,186450000,245370000,246570000,102550000
2025-09-22,61370000,226650000,297420000,1002300000,154480000,319560000,198220000,186850000,244870000,244570000,101700000
2025-09-23,60320000,228300000,297970000,998000000,154380000,319310000,199320000,187000000,244570000,244570000,102150000
2025-09-24,60320000,228300000,299020000,991350000,154430000,319560000,199820000,187250000,243320000,245570000,101950000
2025-09-25,60720000,228200000,298370000,990250000,154330000,319060000,201870000,187150000,242920000,244970000,102050000
2025-09-26,60670000,228700000,300120000,988150000,154430000,318960000,202920000,187250000,243070000,243520000,102350000
2025-09-29,60520000,228950000,302120000,981100000,154980000,318960000,203670000,187350000,242920000,244120000,102350000
2025-09-30,60920000,229300000,301370000,1002700000,154680000,320010000,205420000,187250000,244020000,244320000,102700000
2025-10-01,61470000,232050000,300670000,1005000000,155030000,319760000,204870000,187250000,243320000,247120000,102800000
2025-10-02,61420000,228800000,299970000,1000700000,155180000,320360000,203270000,187250000,242970000,248120000,103000000
2025-10-03,61420000,228800000,299970000,1000700000,155180000,320360000,203270000,187250000,242970000,248120000,103000000
2025-10-06,62170000,228400000,300620000,1003750000,155330000,319810000,203070000,187450000,242370000,249270000,101700000
2025-10-07,62420000,228050000,300370000,1001300000,155030000,320810000,202370000,187450000,242520000,249670000,101700000
2025-10-08,62870000,227950000,299370000,996000000,154480000,321160000,202320000,187450000,241670000,249770000,101900000
2025-10-09,63170000,228000000,298870000,1000550000,154730000,320210000,202420000,187450000,242270000,250470000,101900000
2025-10-10,63170000,228750000,298520000,996950000,154280000,320560000,203070000,188400000,242770000,250570000,101900000
2025-10-13,61920000,228600000,295370000,989450000,152880000,319760000,198920000,189400000,243070000,250470000,102550000
2025-10-14,62220000,228600000,294070000,1005450000,153230000,320110000,198370000,189400000,244320000,251420000,102800000
2025-10-15,62470000,228600000,294270000,1012350000,153930000,319760000,199420000,189400000,245020000,251870000,103200000
2025-10-16,62420000,228650000,294320000,1005600000,153430000,319810000,200620000,187900000,246520000,251720000,102650000
